#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
248,2023071605002818,NIFRA,55,58,212,225.00,"47,700.00"
249,2023071605002817,NIFRA,55,39,970,225.00,"218,250.00"
250,2023071605002816,NIFRA,55,42,10,225.00,"2,250.00"
251,2023071605002815,NIFRA,55,38,100,225.00,"22,500.00"
252,2023071605002814,NIFRA,55,22,102,225.00,"22,950.00"
253,2023071605002825,NIFRA,55,54,500,226.00,"113,000.00"
254,2023071605002824,NIFRA,55,42,54,226.00,"12,204.00"
255,2023071605002823,NIFRA,55,39,"1,000",226.00,"226,000.00"
256,2023071605002822,NIFRA,55,56,200,226.00,"45,200.00"
257,2023071605002821,NIFRA,55,21,150,226.00,"33,900.00"
258,2023071605002820,NIFRA,55,49,"1,000",226.00,"226,000.00"
259,2023071605002914,NIFRA,55,50,200,227.00,"45,400.00"
260,2023071605002913,NIFRA,55,42,100,227.00,"22,700.00"
261,2023071605002912,NIFRA,55,29,"1,000",226.90,"226,900.00"
262,2023071605002911,NIFRA,55,43,100,226.80,"22,680.00"
263,2023071605002828,NIFRA,55,4,"2,000",226.00,"452,000.00"
264,2023071605002826,NIFRA,55,41,64,226.00,"14,464.00"
265,2023071605002920,NIFRA,55,25,300,227.00,"68,100.00"
266,2023071605002919,NIFRA,55,58,30,227.00,"6,810.00"
267,2023071605002918,NIFRA,55,35,300,227.00,"68,100.00"
268,2023071605002917,NIFRA,55,48,"1,000",227.00,"227,000.00"
269,2023071605002916,NIFRA,55,57,300,227.00,"68,100.00"
270,2023071605002915,NIFRA,55,48,"1,000",227.00,"227,000.00"
271,2023071605002926,NIFRA,55,42,100,227.00,"22,700.00"
272,2023071605002925,NIFRA,55,42,50,227.00,"11,350.00"
273,2023071605002924,NIFRA,55,34,500,227.00,"113,500.00"
274,2023071605002923,NIFRA,55,49,126,227.00,"28,602.00"
275,2023071605002922,NIFRA,55,16,230,227.00,"52,210.00"
276,2023071605002921,NIFRA,55,58,100,227.00,"22,700.00"
277,2023071605002937,NIFRA,21,14,200,227.30,"45,460.00"
278,2023071605002936,NIFRA,55,49,62,227.00,"14,074.00"
279,2023071605002935,NIFRA,59,14,100,227.30,"22,730.00"
280,2023071605002929,NIFRA,55,4,"2,000",227.00,"454,000.00"
281,2023071605002928,NIFRA,55,57,200,227.00,"45,400.00"
282,2023071605002927,NIFRA,55,41,54,227.00,"12,258.00"
283,2023071605002969,NIFRA,1,59,100,227.40,"22,740.00"
284,2023071605002968,NIFRA,55,4,"2,000",227.00,"454,000.00"
285,2023071605002941,NIFRA,55,43,100,227.00,"22,700.00"
286,2023071605002940,NIFRA,55,4,"1,923",227.00,"436,521.00"
287,2023071605002939,NIFRA,21,4,77,227.30,"17,502.10"
288,2023071605002938,NIFRA,21,33,223,227.30,"50,687.90"
289,2023071605002975,NIFRA,1,26,200,227.50,"45,500.00"
290,2023071605002974,NIFRA,1,33,100,227.50,"22,750.00"
291,2023071605002973,NIFRA,1,52,20,227.40,"4,548.00"
292,2023071605002972,NIFRA,1,58,17,227.40,"3,865.80"
293,2023071605002971,NIFRA,1,16,20,227.40,"4,548.00"
294,2023071605002970,NIFRA,1,44,32,227.40,"7,276.80"
295,2023071605002986,NIFRA,16,47,200,227.00,"45,400.00"
296,2023071605002985,NIFRA,16,19,100,227.00,"22,700.00"
297,2023071605002983,NIFRA,16,4,234,227.00,"53,118.00"
298,2023071605002982,NIFRA,55,4,171,227.00,"38,817.00"
299,2023071605002979,NIFRA,55,58,54,227.00,"12,258.00"
300,2023071605002976,NIFRA,1,22,511,227.80,"116,405.80"
301,2023071605003031,NIFRA,55,3,52,226.00,"11,752.00"
302,2023071605003030,NIFRA,49,40,12,227.00,"2,724.00"
303,2023071605003029,NIFRA,49,34,188,227.00,"42,676.00"
304,2023071605002997,NIFRA,16,34,312,227.00,"70,824.00"
305,2023071605002990,NIFRA,16,33,54,227.00,"12,258.00"
306,2023071605002987,NIFRA,16,5,100,227.00,"22,700.00"
307,2023071605003043,NIFRA,33,26,40,227.00,"9,080.00"
308,2023071605003042,NIFRA,33,58,50,227.00,"11,350.00"
309,2023071605003041,NIFRA,33,36,300,227.00,"68,100.00"
310,2023071605003040,NIFRA,33,52,300,227.00,"68,100.00"
311,2023071605003039,NIFRA,33,40,488,227.00,"110,776.00"
312,2023071605003038,NIFRA,33,47,200,226.90,"45,380.00"
313,2023071605003054,NIFRA,55,58,50,226.00,"11,300.00"
314,2023071605003051,NIFRA,55,32,"1,000",226.00,"226,000.00"
315,2023071605003047,NIFRA,33,49,"1,000",228.00,"228,000.00"
316,2023071605003046,NIFRA,33,43,50,228.00,"11,400.00"
317,2023071605003045,NIFRA,33,22,483,227.80,"110,027.40"
318,2023071605003044,NIFRA,33,43,80,227.70,"18,216.00"
319,2023071605003078,NIFRA,55,43,155,226.00,"35,030.00"
320,2023071605003063,NIFRA,55,43,54,226.00,"12,204.00"
321,2023071605003062,NIFRA,55,46,100,226.00,"22,600.00"
322,2023071605003057,NIFRA,55,50,100,226.00,"22,600.00"
323,2023071605003056,NIFRA,55,45,70,226.00,"15,820.00"
324,2023071605003055,NIFRA,55,49,"1,000",226.00,"226,000.00"
325,2023071605003091,NIFRA,34,42,500,225.00,"112,500.00"
326,2023071605003090,NIFRA,18,42,500,225.00,"112,500.00"
327,2023071605003089,NIFRA,5,42,"1,000",225.00,"225,000.00"
328,2023071605003088,NIFRA,55,42,"2,578",226.00,"582,628.00"
329,2023071605003085,NIFRA,1,19,900,226.90,"204,210.00"
330,2023071605003084,NIFRA,1,38,100,226.50,"22,650.00"
331,2023071605003178,NIFRA,55,49,400,224.80,"89,920.00"
332,2023071605003165,NIFRA,55,41,"1,000",224.80,"224,800.00"
333,2023071605003163,NIFRA,59,19,100,225.00,"22,500.00"
334,2023071605003151,NIFRA,32,19,478,225.00,"107,550.00"
335,2023071605003148,NIFRA,32,7,100,225.00,"22,500.00"
336,2023071605003092,NIFRA,32,42,422,225.00,"94,950.00"
337,2023071605003177,NRIC,35,45,86,740.00,"63,640.00"
338,2023071605003176,NRIC,35,49,14,739.00,"10,346.00"
339,2023071605003130,NRIC,34,45,304,740.00,"224,960.00"
340,2023071605003129,NRIC,34,45,10,740.00,"7,400.00"
341,2023071605003128,NRIC,34,7,109,740.00,"80,660.00"
342,2023071605003127,NRIC,34,58,100,739.90,"73,990.00"
343,2023071605002787,NRIC,33,54,273,736.00,"200,928.00"
344,2023071605002748,NRIC,45,54,30,736.00,"22,080.00"
345,2023071605002992,NRIC,48,47,100,736.10,"73,610.00"
346,2023071605002952,NRIC,22,39,58,736.00,"42,688.00"
347,2023071605002798,NRIC,50,42,100,736.00,"73,600.00"
348,2023071605002790,NRIC,33,54,121,738.00,"89,298.00"
349,2023071605002789,NRIC,33,42,505,737.00,"372,185.00"
350,2023071605002788,NRIC,33,40,101,736.50,"74,386.50"
351,2023071605003053,NRIC,43,26,100,737.90,"73,790.00"
352,2023071605003001,NRIC,50,47,44,736.00,"32,384.00"
353,2023071605002998,NRIC,6,47,100,736.00,"73,600.00"
354,2023071605002995,NRIC,33,47,14,736.00,"10,304.00"
355,2023071605002994,NRIC,58,47,200,736.00,"147,200.00"
356,2023071605002993,NRIC,22,47,42,736.00,"30,912.00"
357,2023071605003096,NRIC,44,14,30,736.00,"22,080.00"
358,2023071605003095,NRIC,34,14,456,736.00,"335,616.00"
359,2023071605003061,NRIC,34,33,44,736.00,"32,384.00"
360,2023071605003060,NRIC,50,33,100,736.00,"73,600.00"
361,2023071605003059,NRIC,50,33,156,736.20,"114,847.20"
362,2023071605003058,NRIC,17,33,100,737.00,"73,700.00"
363,2023071605003126,NRIC,34,16,48,739.90,"35,515.20"
364,2023071605003125,NRIC,34,43,100,738.50,"73,850.00"
365,2023071605003124,NRIC,34,57,100,738.00,"73,800.00"
366,2023071605003123,NRIC,34,54,79,738.00,"58,302.00"
367,2023071605003122,NRIC,34,26,150,737.90,"110,685.00"
368,2023071605003097,NRIC,25,14,14,736.00,"10,304.00"
369,2023071605003203,NRN,56,56,10,513.00,"5,130.00"
370,2023071605003193,NRN,17,56,10,513.00,"5,130.00"
371,2023071605003173,NRN,34,38,10,513.90,"5,139.00"
372,2023071605003159,NRN,5,45,30,505.90,"15,177.00"
373,2023071605003048,NRN,5,18,10,505.70,"5,057.00"
374,2023071605003025,NRN,34,51,10,514.00,"5,140.00"
375,2023071605002763,NRN,34,45,50,510.00,"25,500.00"
376,2023071605002762,NRN,34,45,50,509.90,"25,495.00"
377,2023071605002761,NRN,34,8,200,509.00,"101,800.00"
378,2023071605002744,NRN,59,38,50,505.00,"25,250.00"
379,2023071605002743,NRN,25,38,50,506.00,"25,300.00"
380,2023071605002769,NRN,34,45,10,514.80,"5,148.00"
381,2023071605002768,NRN,34,44,10,513.00,"5,130.00"
382,2023071605002767,NRN,34,47,10,513.00,"5,130.00"
383,2023071605002766,NRN,34,52,10,512.00,"5,120.00"
384,2023071605002765,NRN,34,42,130,511.00,"66,430.00"
385,2023071605002764,NRN,34,35,30,510.00,"15,300.00"
386,2023071605003024,NRN,34,45,50,513.00,"25,650.00"
387,2023071605002902,NRN,59,18,10,505.00,"5,050.00"
388,2023071605002830,NRN,41,38,479,510.00,"244,290.00"
389,2023071605002801,NRN,34,45,10,514.80,"5,148.00"
390,2023071605002800,NRN,41,50,11,510.00,"5,610.00"
391,2023071605002792,NRN,41,18,10,510.00,"5,100.00"
392,2023071605003206,NTC,57,54,10,906.90,"9,069.00"
393,2023071605003192,NTC,49,53,41,905.00,"37,105.00"
394,2023071605003191,NTC,26,53,24,906.00,"21,744.00"
395,2023071605003175,NTC,26,54,50,906.00,"45,300.00"
396,2023071605003169,NTC,26,35,86,906.00,"77,916.00"
397,2023071605003168,NTC,26,34,30,905.90,"27,177.00"
398,2023071605002772,NTC,57,21,20,906.00,"18,120.00"
399,2023071605002737,NTC,21,42,66,905.00,"59,730.00"
400,2023071605002736,NTC,45,42,60,905.00,"54,300.00"
401,2023071605002735,NTC,48,42,20,905.20,"18,104.00"
402,2023071605002957,NTC,51,59,70,905.00,"63,350.00"
403,2023071605002942,NTC,51,13,20,905.00,"18,100.00"
404,2023071605002933,NTC,51,45,10,905.00,"9,050.00"
405,2023071605002932,NTC,34,16,50,906.00,"45,300.00"
406,2023071605002931,NTC,34,36,50,906.00,"45,300.00"
407,2023071605002791,NTC,11,36,50,906.00,"45,300.00"
408,2023071605003018,NTC,32,44,50,904.00,"45,200.00"
409,2023071605003017,NTC,41,44,25,904.00,"22,600.00"
410,2023071605003016,NTC,19,44,210,905.00,"190,050.00"
411,2023071605003013,NTC,19,59,90,905.00,"81,450.00"
412,2023071605002959,NTC,42,59,30,905.00,"27,150.00"
413,2023071605002958,NTC,54,59,10,905.00,"9,050.00"
414,2023071605003032,NTC,49,8,15,904.80,"13,572.00"
415,2023071605003023,NTC,49,44,106,903.70,"95,792.20"
416,2023071605003022,NTC,41,44,20,904.00,"18,080.00"
417,2023071605003021,NTC,42,44,47,904.00,"42,488.00"
418,2023071605003020,NTC,58,44,32,904.00,"28,928.00"
419,2023071605003019,NTC,54,44,10,904.00,"9,040.00"
420,2023071605003167,NTC,26,45,10,905.00,"9,050.00"
421,2023071605003153,NTC,32,45,30,905.00,"27,150.00"
422,2023071605003152,NTC,7,45,10,905.00,"9,050.00"
423,2023071605003080,NTC,45,3,20,906.00,"18,120.00"
424,2023071605003079,NTC,45,16,100,906.00,"90,600.00"
425,2023071605003036,NTC,25,16,100,906.00,"90,600.00"
426,2023071605003140,PSF,47,10,"18,250",8.85,"161,512.50"
427,2023071605003139,PSF,58,10,"7,350",8.86,"65,121.00"
428,2023071605003082,PSF,59,10,100,9.00,900.00
429,2023071605002996,PSF,58,58,300,8.86,"2,658.00"
430,2023071605002899,PSF,49,10,100,9.30,930.00
431,2023071605002898,PSF,49,11,100,9.00,900.00
432,2023071605002829,PSF,49,11,100,9.00,900.00
433,2023071605002786,PSF,58,58,100,8.86,886.00
434,2023071605002785,PSF,28,58,250,8.87,"2,217.50"
435,2023071605002784,PSF,28,58,150,8.91,"1,336.50"
436,2023071605003157,RMF1,17,6,251,8.08,"2,028.08"
437,2023071605003156,RMF1,17,38,"3,899",8.05,"31,386.95"
438,2023071605003155,RMF1,17,21,"2,050",8.04,"16,482.00"
439,2023071605003141,RMF1,17,21,"10,000",8.04,"80,400.00"
440,2023071605003027,RMF1,49,38,"1,000",8.05,"8,050.00"
441,2023071605003002,RMF1,28,58,900,7.80,"7,020.00"
442,2023071605002711,RMF1,49,35,100,7.94,794.00
443,2023071605002710,RMF1,49,47,"2,900",7.93,"22,997.00"
444,2023071605002978,RMF1,49,38,101,8.05,813.05
445,2023071605002977,RMF1,49,51,499,8.02,"4,001.98"
446,2023071605002948,RMF1,49,42,"4,600",7.99,"36,754.00"
447,2023071605002947,RMF1,49,32,"1,000",7.98,"7,980.00"
448,2023071605002946,RMF1,49,35,"12,300",7.94,"97,662.00"
449,2023071605002945,RMF1,49,49,"4,900",7.93,"38,857.00"
450,2023071605003202,SAGF,36,58,100,9.99,999.00
451,2023071605003144,SAGF,36,14,"1,200",9.99,"11,988.00"
452,2023071605003143,SAGF,36,47,100,9.99,999.00
453,2023071605003142,SAGF,36,58,300,9.99,"2,997.00"
454,2023071605003026,SBCF,47,58,300,7.87,"2,361.00"
455,2023071605003094,SBCF,59,10,100,7.85,785.00
456,2023071605003093,SBCF,47,10,"19,700",7.87,"155,039.00"
457,2023071605003083,SFEF,44,44,100,9.68,968.00
458,2023071605002981,SFEF,44,44,100,9.50,950.00
459,2023071605002831,SFEF,44,44,100,9.32,932.00
460,2023071605002728,SFEF,44,44,100,9.14,914.00
461,2023071605002718,SFMF,58,21,"1,200",11.08,"13,296.00"
462,2023071605002717,SFMF,58,29,"1,300",11.08,"14,404.00"
463,2023071605003146,SIGS2,34,17,100,9.03,903.00
464,2023071605003145,SIGS2,34,57,"6,235",8.85,"55,179.75"
465,2023071605003066,SIGS2,4,57,100,8.85,885.00
466,2023071605003154,SLCF,47,44,200,8.92,"1,784.00"
467,2023071605003028,SLCF,25,17,100,8.75,875.00
468,2023071605003012,SLCF,25,35,"10,000",8.67,"86,700.00"
469,2023071605003011,SLCF,25,29,"22,507",8.67,"195,135.69"
470,2023071605003010,SLCF,25,17,"10,000",8.59,"85,900.00"
471,2023071605003009,SLCF,25,7,100,8.58,858.00
472,2023071605003008,SLCF,25,17,"1,100",8.58,"9,438.00"
473,2023071605003007,SLCF,25,45,100,8.50,850.00
474,2023071605003006,SLCF,25,42,100,8.40,840.00
475,2023071605003005,SLCF,25,45,200,8.40,"1,680.00"
476,2023071605003004,SLCF,25,25,"4,900",8.40,"41,160.00"
477,2023071605003003,SLCF,25,32,"4,900",8.20,"40,180.00"
478,2023071605003138,SMATA,36,55,27,702.70,"18,972.90"
479,2023071605003137,SMATA,36,36,10,700.00,"7,000.00"
480,2023071605003136,SMATA,36,52,70,700.00,"49,000.00"
481,2023071605003135,SMATA,36,5,15,698.00,"10,470.00"
482,2023071605003134,SMATA,36,43,40,697.00,"27,880.00"
483,2023071605003133,SMATA,36,32,38,695.00,"26,410.00"
484,2023071605003132,SMATA,36,1,100,694.10,"69,410.00"
485,2023071605003072,SMATA,36,32,28,695.00,"19,460.00"
486,2023071605003071,SMATA,36,41,10,690.00,"6,900.00"
487,2023071605003070,SMATA,36,14,100,689.00,"68,900.00"
488,2023071605003069,SMATA,36,19,12,689.00,"8,268.00"
489,2023071605003068,SMATA,36,54,100,686.00,"68,600.00"
490,2023071605003204,STC,6,49,10,"4,899.00","48,990.00"
491,2023071605003174,STC,4,17,10,"4,850.00","48,500.00"
492,2023071605003131,STC,4,49,10,"4,899.00","48,990.00"
493,2023071605003000,STC,54,19,10,"4,900.00","49,000.00"
494,2023071605002999,STC,54,49,20,"4,898.00","97,960.00"
495,2023071605002984,STC,46,44,92,"4,841.10","445,381.20"
